time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,precipitation,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,city,fetched_at
2026-07-17 00:00:00,31.1,61,1002.6,16.7,230,0.0,24.4,65.0,98.0,2.1,2.0,40.0,81,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 01:00:00,30.4,64,1002.6,17.9,225,0.0,22.9,59.3,98.0,2.4,2.0,39.0,80,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 02:00:00,29.4,70,1002.4,17.3,224,0.0,21.3,53.4,98.0,2.6,2.0,39.0,80,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 03:00:00,28.7,74,1002.2,16.3,227,0.0,19.7,48.3,99.0,2.8,2.1,38.0,80,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 04:00:00,28.2,75,1002.3,15.9,224,0.0,18.0,43.3,100.0,2.9,2.3,38.0,79,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 05:00:00,28.0,76,1002.6,14.8,220,0.0,15.3,36.4,100.0,2.8,2.5,38.0,79,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 06:00:00,27.8,78,1003.1,12.4,214,0.0,12.9,30.4,99.0,2.4,2.7,40.0,79,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 07:00:00,28.5,75,1003.6,14.2,215,0.0,12.5,30.6,97.0,1.8,2.8,43.0,78,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 08:00:00,30.0,68,1003.8,17.4,221,0.0,12.8,33.1,95.0,1.3,2.8,46.0,78,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 09:00:00,31.7,60,1004.1,18.7,223,0.0,14.4,41.0,94.0,1.0,2.6,50.0,77,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 10:00:00,33.3,53,1003.9,19.4,220,0.0,16.8,52.0,94.0,0.8,2.2,56.0,77,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 11:00:00,34.9,47,1003.5,19.3,217,0.0,20.4,66.4,94.0,0.6,1.9,60.0,77,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 12:00:00,36.1,43,1002.9,18.6,217,0.0,22.0,70.8,95.0,0.5,1.8,63.0,77,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 13:00:00,37.6,38,1001.9,18.2,216,0.0,23.1,72.4,97.0,0.4,1.7,65.0,77,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 14:00:00,38.5,35,1000.6,17.8,222,0.0,23.4,70.8,98.0,0.4,1.7,67.0,77,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 15:00:00,39.0,34,1000.0,18.4,220,0.0,24.3,72.9,99.0,0.4,1.7,69.0,76,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 16:00:00,38.6,35,999.5,17.0,222,0.0,25.1,75.0,99.0,0.4,1.8,70.0,76,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 17:00:00,38.2,35,998.9,17.4,230,0.0,25.4,75.7,99.0,0.5,1.8,69.0,76,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 18:00:00,37.8,35,998.7,17.4,234,0.0,25.4,75.0,98.0,0.7,1.8,65.0,75,Umerkot,2026-07-17 07:39:08.879780+00:00
2026-07-17 19:00:00,35.5,44,999.4,26.4,227,0.0,24.9,70.1,97.0,1.0,1.7,59.0,75,Umerkot,2026-07-17 07:39:08.879780+00:00
